cell_barcode,donor,guide,condition,batch,lane,pathway_score,nc_unit,nc_split
cell_9_32,donor_1,guide_9,non_targeting,batch_1,lane_3,0.2359,guide_9_a,a
cell_9_33,donor_1,guide_9,non_targeting,batch_1,lane_1,0.985,guide_9_b,b
cell_9_34,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.3903,guide_9_a,a
cell_9_35,donor_1,guide_9,non_targeting,batch_1,lane_3,0.1832,guide_9_b,b
cell_9_36,donor_1,guide_9,non_targeting,batch_1,lane_1,1.8462,guide_9_a,a
cell_9_37,donor_1,guide_9,non_targeting,batch_1,lane_2,-0.3922,guide_9_b,b
cell_9_38,donor_1,guide_9,non_targeting,batch_1,lane_3,-0.9594,guide_9_a,a
cell_9_39,donor_1,guide_9,non_targeting,batch_1,lane_1,1.4046,guide_9_b,b
cell_10_0,donor_1,guide_10,non_targeting,batch_1,lane_1,0.8121,guide_10_a,a
cell_10_1,donor_1,guide_10,non_targeting,batch_1,lane_2,0.4826,guide_10_b,b
cell_10_2,donor_1,guide_10,non_targeting,batch_1,lane_3,-0.015,guide_10_a,a
cell_10_3,donor_1,guide_10,non_targeting,batch_1,lane_1,0.0071,guide_10_b,b
cell_10_4,donor_1,guide_10,non_targeting,batch_1,lane_2,-0.1037,guide_10_a,a
cell_10_5,donor_1,guide_10,non_targeting,batch_1,lane_3,-0.2144,guide_10_b,b
cell_10_6,donor_1,guide_10,non_targeting,batch_1,lane_1,0.3176,guide_10_a,a
cell_10_7,donor_1,guide_10,non_targeting,batch_1,lane_2,-0.0193,guide_10_b,b
cell_10_8,donor_1,guide_10,non_targeting,batch_1,lane_3,-0.022,guide_10_a,a
cell_10_9,donor_1,guide_10,non_targeting,batch_1,lane_1,0.1236,guide_10_b,b
cell_10_10,donor_1,guide_10,non_targeting,batch_1,lane_2,1.2855,guide_10_a,a
cell_10_11,donor_1,guide_10,non_targeting,batch_1,lane_3,-1.5417,guide_10_b,b
cell_10_12,donor_1,guide_10,non_targeting,batch_1,lane_1,-0.1449,guide_10_a,a
cell_10_13,donor_1,guide_10,non_targeting,batch_1,lane_2,0.5661,guide_10_b,b
cell_10_14,donor_1,guide_10,non_targeting,batch_1,lane_3,-0.8318,guide_10_a,a
cell_10_15,donor_1,guide_10,non_targeting,batch_1,lane_1,-1.1805,guide_10_b,b
cell_10_16,donor_1,guide_10,non_targeting,batch_1,lane_2,2.1697,guide_10_a,a
cell_10_17,donor_1,guide_10,non_targeting,batch_1,lane_3,-0.1297,guide_10_b,b
cell_10_18,donor_1,guide_10,non_targeting,batch_1,lane_1,0.0933,guide_10_a,a
cell_10_19,donor_1,guide_10,non_targeting,batch_1,lane_2,-0.4937,guide_10_b,b
cell_10_20,donor_1,guide_10,non_targeting,batch_1,lane_3,0.2694,guide_10_a,a
cell_10_21,donor_1,guide_10,non_targeting,batch_1,lane_1,0.8556,guide_10_b,b
cell_10_22,donor_1,guide_10,non_targeting,batch_1,lane_2,-1.4881,guide_10_a,a
cell_10_23,donor_1,guide_10,non_targeting,batch_1,lane_3,1.3767,guide_10_b,b
cell_10_24,donor_1,guide_10,non_targeting,batch_1,lane_1,0.0759,guide_10_a,a
cell_10_25,donor_1,guide_10,non_targeting,batch_1,lane_2,-1.3929,guide_10_b,b
cell_10_26,donor_1,guide_10,non_targeting,batch_1,lane_3,-0.2901,guide_10_a,a
cell_10_27,donor_1,guide_10,non_targeting,batch_1,lane_1,-0.4911,guide_10_b,b
cell_10_28,donor_1,guide_10,non_targeting,batch_1,lane_2,-1.2305,guide_10_a,a
cell_10_29,donor_1,guide_10,non_targeting,batch_1,lane_3,0.2394,guide_10_b,b
cell_10_30,donor_1,guide_10,non_targeting,batch_1,lane_1,-0.1323,guide_10_a,a
cell_10_31,donor_1,guide_10,non_targeting,batch_1,lane_2,0.0354,guide_10_b,b
cell_10_32,donor_1,guide_10,non_targeting,batch_1,lane_3,1.0653,guide_10_a,a
cell_10_33,donor_1,guide_10,non_targeting,batch_1,lane_1,0.3296,guide_10_b,b
cell_10_34,donor_1,guide_10,non_targeting,batch_1,lane_2,0.2577,guide_10_a,a
cell_10_35,donor_1,guide_10,non_targeting,batch_1,lane_3,2.2011,guide_10_b,b
cell_10_36,donor_1,guide_10,non_targeting,batch_1,lane_1,1.0963,guide_10_a,a
cell_10_37,donor_1,guide_10,non_targeting,batch_1,lane_2,1.015,guide_10_b,b
cell_10_38,donor_1,guide_10,non_targeting,batch_1,lane_3,0.4192,guide_10_a,a
cell_10_39,donor_1,guide_10,non_targeting,batch_1,lane_1,1.8867,guide_10_b,b
cell_11_0,donor_1,guide_11,non_targeting,batch_1,lane_1,2.0074,guide_11_a,a
cell_11_1,donor_1,guide_11,non_targeting,batch_1,lane_2,-0.1125,guide_11_b,b
cell_11_2,donor_1,guide_11,non_targeting,batch_1,lane_3,-1.2258,guide_11_a,a
cell_11_3,donor_1,guide_11,non_targeting,batch_1,lane_1,0.5808,guide_11_b,b
cell_11_4,donor_1,guide_11,non_targeting,batch_1,lane_2,0.711,guide_11_a,a
cell_11_5,donor_1,guide_11,non_targeting,batch_1,lane_3,0.3356,guide_11_b,b
cell_11_6,donor_1,guide_11,non_targeting,batch_1,lane_1,-0.2882,guide_11_a,a
cell_11_7,donor_1,guide_11,non_targeting,batch_1,lane_2,1.115,guide_11_b,b
cell_11_8,donor_1,guide_11,non_targeting,batch_1,lane_3,0.1075,guide_11_a,a
cell_11_9,donor_1,guide_11,non_targeting,batch_1,lane_1,-0.7745,guide_11_b,b
cell_11_10,donor_1,guide_11,non_targeting,batch_1,lane_2,-0.7706,guide_11_a,a
cell_11_11,donor_1,guide_11,non_targeting,batch_1,lane_3,-0.3398,guide_11_b,b
cell_11_12,donor_1,guide_11,non_targeting,batch_1,lane_1,-0.9189,guide_11_a,a
cell_11_13,donor_1,guide_11,non_targeting,batch_1,lane_2,-0.5946,guide_11_b,b
cell_11_14,donor_1,guide_11,non_targeting,batch_1,lane_3,0.4651,guide_11_a,a
cell_11_15,donor_1,guide_11,non_targeting,batch_1,lane_1,1.1877,guide_11_b,b
cell_11_16,donor_1,guide_11,non_targeting,batch_1,lane_2,1.2565,guide_11_a,a
cell_11_17,donor_1,guide_11,non_targeting,batch_1,lane_3,0.2932,guide_11_b,b
cell_11_18,donor_1,guide_11,non_targeting,batch_1,lane_1,0.3214,guide_11_a,a
cell_11_19,donor_1,guide_11,non_targeting,batch_1,lane_2,1.4137,guide_11_b,b
cell_11_20,donor_1,guide_11,non_targeting,batch_1,lane_3,0.7089,guide_11_a,a
cell_11_21,donor_1,guide_11,non_targeting,batch_1,lane_1,1.1537,guide_11_b,b
cell_11_22,donor_1,guide_11,non_targeting,batch_1,lane_2,1.5813,guide_11_a,a
cell_11_23,donor_1,guide_11,non_targeting,batch_1,lane_3,0.5472,guide_11_b,b
cell_11_24,donor_1,guide_11,non_targeting,batch_1,lane_1,0.9464,guide_11_a,a
cell_11_25,donor_1,guide_11,non_targeting,batch_1,lane_2,3.4054,guide_11_b,b
cell_11_26,donor_1,guide_11,non_targeting,batch_1,lane_3,-0.3722,guide_11_a,a
cell_11_27,donor_1,guide_11,non_targeting,batch_1,lane_1,1.3696,guide_11_b,b
cell_11_28,donor_1,guide_11,non_targeting,batch_1,lane_2,-0.9768,guide_11_a,a
cell_11_29,donor_1,guide_11,non_targeting,batch_1,lane_3,0.5467,guide_11_b,b
cell_11_30,donor_1,guide_11,non_targeting,batch_1,lane_1,-0.2184,guide_11_a,a
cell_11_31,donor_1,guide_11,non_targeting,batch_1,lane_2,0.8636,guide_11_b,b
cell_11_32,donor_1,guide_11,non_targeting,batch_1,lane_3,-0.0972,guide_11_a,a
cell_11_33,donor_1,guide_11,non_targeting,batch_1,lane_1,1.9598,guide_11_b,b
cell_11_34,donor_1,guide_11,non_targeting,batch_1,lane_2,1.722,guide_11_a,a
cell_11_35,donor_1,guide_11,non_targeting,batch_1,lane_3,-0.1062,guide_11_b,b
cell_11_36,donor_1,guide_11,non_targeting,batch_1,lane_1,1.7451,guide_11_a,a
cell_11_37,donor_1,guide_11,non_targeting,batch_1,lane_2,0.4469,guide_11_b,b
cell_11_38,donor_1,guide_11,non_targeting,batch_1,lane_3,0.6748,guide_11_a,a
cell_11_39,donor_1,guide_11,non_targeting,batch_1,lane_1,2.3026,guide_11_b,b
cell_12_0,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.6565,guide_12_a,a
cell_12_1,donor_1,guide_12,non_targeting,batch_1,lane_2,0.8501,guide_12_b,b
cell_12_2,donor_1,guide_12,non_targeting,batch_1,lane_3,-1.2489,guide_12_a,a
cell_12_3,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.1586,guide_12_b,b
cell_12_4,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.081,guide_12_a,a
cell_12_5,donor_1,guide_12,non_targeting,batch_1,lane_3,-2.1669,guide_12_b,b
cell_12_6,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.1084,guide_12_a,a
cell_12_7,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.2302,guide_12_b,b
cell_12_8,donor_1,guide_12,non_targeting,batch_1,lane_3,0.5955,guide_12_a,a
cell_12_9,donor_1,guide_12,non_targeting,batch_1,lane_1,-2.3641,guide_12_b,b
cell_12_10,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.2569,guide_12_a,a
cell_12_11,donor_1,guide_12,non_targeting,batch_1,lane_3,-0.6738,guide_12_b,b
cell_12_12,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.5754,guide_12_a,a
cell_12_13,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.4302,guide_12_b,b
cell_12_14,donor_1,guide_12,non_targeting,batch_1,lane_3,0.0597,guide_12_a,a
cell_12_15,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.1854,guide_12_b,b
cell_12_16,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.7345,guide_12_a,a
cell_12_17,donor_1,guide_12,non_targeting,batch_1,lane_3,-0.2311,guide_12_b,b
cell_12_18,donor_1,guide_12,non_targeting,batch_1,lane_1,-1.4874,guide_12_a,a
cell_12_19,donor_1,guide_12,non_targeting,batch_1,lane_2,1.6571,guide_12_b,b
cell_12_20,donor_1,guide_12,non_targeting,batch_1,lane_3,-0.663,guide_12_a,a
cell_12_21,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.8769,guide_12_b,b
cell_12_22,donor_1,guide_12,non_targeting,batch_1,lane_2,-1.3651,guide_12_a,a
cell_12_23,donor_1,guide_12,non_targeting,batch_1,lane_3,1.0843,guide_12_b,b
cell_12_24,donor_1,guide_12,non_targeting,batch_1,lane_1,0.0597,guide_12_a,a
cell_12_25,donor_1,guide_12,non_targeting,batch_1,lane_2,-1.8844,guide_12_b,b
cell_12_26,donor_1,guide_12,non_targeting,batch_1,lane_3,0.078,guide_12_a,a
cell_12_27,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.5952,guide_12_b,b
cell_12_28,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.3614,guide_12_a,a
cell_12_29,donor_1,guide_12,non_targeting,batch_1,lane_3,-0.0557,guide_12_b,b
cell_12_30,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.8684,guide_12_a,a
cell_12_31,donor_1,guide_12,non_targeting,batch_1,lane_2,1.0517,guide_12_b,b
cell_12_32,donor_1,guide_12,non_targeting,batch_1,lane_3,0.4605,guide_12_a,a
cell_12_33,donor_1,guide_12,non_targeting,batch_1,lane_1,1.1137,guide_12_b,b
cell_12_34,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.0883,guide_12_a,a
cell_12_35,donor_1,guide_12,non_targeting,batch_1,lane_3,-1.0555,guide_12_b,b
cell_12_36,donor_1,guide_12,non_targeting,batch_1,lane_1,1.9563,guide_12_a,a
cell_12_37,donor_1,guide_12,non_targeting,batch_1,lane_2,-0.5879,guide_12_b,b
cell_12_38,donor_1,guide_12,non_targeting,batch_1,lane_3,-1.8299,guide_12_a,a
cell_12_39,donor_1,guide_12,non_targeting,batch_1,lane_1,-0.2797,guide_12_b,b
cell_13_0,donor_1,guide_13,non_targeting,batch_1,lane_1,1.1814,guide_13_a,a
cell_13_1,donor_1,guide_13,non_targeting,batch_1,lane_2,-0.1126,guide_13_b,b
cell_13_2,donor_1,guide_13,non_targeting,batch_1,lane_3,0.4738,guide_13_a,a
cell_13_3,donor_1,guide_13,non_targeting,batch_1,lane_1,-0.8053,guide_13_b,b
cell_13_4,donor_1,guide_13,non_targeting,batch_1,lane_2,-0.7927,guide_13_a,a
cell_13_5,donor_1,guide_13,non_targeting,batch_1,lane_3,0.1784,guide_13_b,b
cell_13_6,donor_1,guide_13,non_targeting,batch_1,lane_1,-1.2471,guide_13_a,a
cell_13_7,donor_1,guide_13,non_targeting,batch_1,lane_2,1.0044,guide_13_b,b
cell_13_8,donor_1,guide_13,non_targeting,batch_1,lane_3,0.3372,guide_13_a,a
cell_13_9,donor_1,guide_13,non_targeting,batch_1,lane_1,-2.0773,guide_13_b,b
cell_13_10,donor_1,guide_13,non_targeting,batch_1,lane_2,0.2525,guide_13_a,a
cell_13_11,donor_1,guide_13,non_targeting,batch_1,lane_3,-0.2276,guide_13_b,b
cell_13_12,donor_1,guide_13,non_targeting,batch_1,lane_1,-1.215,guide_13_a,a
cell_13_13,donor_1,guide_13,non_targeting,batch_1,lane_2,-0.7105,guide_13_b,b
cell_13_14,donor_1,guide_13,non_targeting,batch_1,lane_3,-1.0143,guide_13_a,a
cell_13_15,donor_1,guide_13,non_targeting,batch_1,lane_1,-1.2795,guide_13_b,b
cell_13_16,donor_1,guide_13,non_targeting,batch_1,lane_2,-1.1494,guide_13_a,a
cell_13_17,donor_1,guide_13,non_targeting,batch_1,lane_3,-0.0252,guide_13_b,b
cell_13_18,donor_1,guide_13,non_targeting,batch_1,lane_1,-0.1347,guide_13_a,a
cell_13_19,donor_1,guide_13,non_targeting,batch_1,lane_2,1.0374,guide_13_b,b
cell_13_20,donor_1,guide_13,non_targeting,batch_1,lane_3,1.0312,guide_13_a,a
cell_13_21,donor_1,guide_13,non_targeting,batch_1,lane_1,-1.5238,guide_13_b,b
cell_13_22,donor_1,guide_13,non_targeting,batch_1,lane_2,-1.6439,guide_13_a,a
cell_13_23,donor_1,guide_13,non_targeting,batch_1,lane_3,1.9188,guide_13_b,b
cell_13_24,donor_1,guide_13,non_targeting,batch_1,lane_1,0.7848,guide_13_a,a
cell_13_25,donor_1,guide_13,non_targeting,batch_1,lane_2,1.9364,guide_13_b,b
cell_13_26,donor_1,guide_13,non_targeting,batch_1,lane_3,0.3673,guide_13_a,a
cell_13_27,donor_1,guide_13,non_targeting,batch_1,lane_1,-1.2221,guide_13_b,b
cell_13_28,donor_1,guide_13,non_targeting,batch_1,lane_2,-1.4204,guide_13_a,a
cell_13_29,donor_1,guide_13,non_targeting,batch_1,lane_3,-0.1616,guide_13_b,b
cell_13_30,donor_1,guide_13,non_targeting,batch_1,lane_1,-0.2151,guide_13_a,a
cell_13_31,donor_1,guide_13,non_targeting,batch_1,lane_2,-0.1294,guide_13_b,b
cell_13_32,donor_1,guide_13,non_targeting,batch_1,lane_3,-0.4231,guide_13_a,a
cell_13_33,donor_1,guide_13,non_targeting,batch_1,lane_1,-0.1607,guide_13_b,b
cell_13_34,donor_1,guide_13,non_targeting,batch_1,lane_2,-0.1405,guide_13_a,a
cell_13_35,donor_1,guide_13,non_targeting,batch_1,lane_3,-0.6093,guide_13_b,b
cell_13_36,donor_1,guide_13,non_targeting,batch_1,lane_1,0.8647,guide_13_a,a
cell_13_37,donor_1,guide_13,non_targeting,batch_1,lane_2,0.4281,guide_13_b,b
cell_13_38,donor_1,guide_13,non_targeting,batch_1,lane_3,-0.2354,guide_13_a,a
cell_13_39,donor_1,guide_13,non_targeting,batch_1,lane_1,-0.9339,guide_13_b,b
cell_14_0,donor_1,guide_14,non_targeting,batch_1,lane_1,-1.5425,guide_14_a,a
cell_14_1,donor_1,guide_14,non_targeting,batch_1,lane_2,0.8885,guide_14_b,b
cell_14_2,donor_1,guide_14,non_targeting,batch_1,lane_3,-0.5936,guide_14_a,a
cell_14_3,donor_1,guide_14,non_targeting,batch_1,lane_1,0.2947,guide_14_b,b
cell_14_4,donor_1,guide_14,non_targeting,batch_1,lane_2,0.7549,guide_14_a,a
cell_14_5,donor_1,guide_14,non_targeting,batch_1,lane_3,-0.4981,guide_14_b,b
cell_14_6,donor_1,guide_14,non_targeting,batch_1,lane_1,-1.8077,guide_14_a,a
cell_14_7,donor_1,guide_14,non_targeting,batch_1,lane_2,-1.2405,guide_14_b,b
cell_14_8,donor_1,guide_14,non_targeting,batch_1,lane_3,0.186,guide_14_a,a
cell_14_9,donor_1,guide_14,non_targeting,batch_1,lane_1,0.9218,guide_14_b,b
cell_14_10,donor_1,guide_14,non_targeting,batch_1,lane_2,-0.5363,guide_14_a,a
cell_14_11,donor_1,guide_14,non_targeting,batch_1,lane_3,0.9118,guide_14_b,b
cell_14_12,donor_1,guide_14,non_targeting,batch_1,lane_1,0.1955,guide_14_a,a
cell_14_13,donor_1,guide_14,non_targeting,batch_1,lane_2,0.7207,guide_14_b,b
cell_14_14,donor_1,guide_14,non_targeting,batch_1,lane_3,1.2699,guide_14_a,a
cell_14_15,donor_1,guide_14,non_targeting,batch_1,lane_1,0.4409,guide_14_b,b
cell_14_16,donor_1,guide_14,non_targeting,batch_1,lane_2,-0.9988,guide_14_a,a
cell_14_17,donor_1,guide_14,non_targeting,batch_1,lane_3,-0.3348,guide_14_b,b
cell_14_18,donor_1,guide_14,non_targeting,batch_1,lane_1,0.6917,guide_14_a,a
cell_14_19,donor_1,guide_14,non_targeting,batch_1,lane_2,0.3792,guide_14_b,b
cell_14_20,donor_1,guide_14,non_targeting,batch_1,lane_3,0.4943,guide_14_a,a
cell_14_21,donor_1,guide_14,non_targeting,batch_1,lane_1,1.3742,guide_14_b,b
cell_14_22,donor_1,guide_14,non_targeting,batch_1,lane_2,0.2099,guide_14_a,a
cell_14_23,donor_1,guide_14,non_targeting,batch_1,lane_3,-2.1327,guide_14_b,b
cell_14_24,donor_1,guide_14,non_targeting,batch_1,lane_1,1.1224,guide_14_a,a
cell_14_25,donor_1,guide_14,non_targeting,batch_1,lane_2,-1.089,guide_14_b,b
cell_14_26,donor_1,guide_14,non_targeting,batch_1,lane_3,-0.6212,guide_14_a,a
cell_14_27,donor_1,guide_14,non_targeting,batch_1,lane_1,-0.1608,guide_14_b,b
cell_14_28,donor_1,guide_14,non_targeting,batch_1,lane_2,-0.4837,guide_14_a,a
cell_14_29,donor_1,guide_14,non_targeting,batch_1,lane_3,-0.2057,guide_14_b,b
cell_14_30,donor_1,guide_14,non_targeting,batch_1,lane_1,0.8188,guide_14_a,a
cell_14_31,donor_1,guide_14,non_targeting,batch_1,lane_2,0.1936,guide_14_b,b
cell_14_32,donor_1,guide_14,non_targeting,batch_1,lane_3,0.8848,guide_14_a,a
cell_14_33,donor_1,guide_14,non_targeting,batch_1,lane_1,1.6981,guide_14_b,b
cell_14_34,donor_1,guide_14,non_targeting,batch_1,lane_2,-1.8753,guide_14_a,a
cell_14_35,donor_1,guide_14,non_targeting,batch_1,lane_3,0.2893,guide_14_b,b
cell_14_36,donor_1,guide_14,non_targeting,batch_1,lane_1,-1.2531,guide_14_a,a
cell_14_37,donor_1,guide_14,non_targeting,batch_1,lane_2,1.7682,guide_14_b,b
cell_14_38,donor_1,guide_14,non_targeting,batch_1,lane_3,1.785,guide_14_a,a
cell_14_39,donor_1,guide_14,non_targeting,batch_1,lane_1,-0.2023,guide_14_b,b
cell_15_0,donor_1,guide_15,non_targeting,batch_1,lane_1,0.1312,guide_15_a,a
cell_15_1,donor_1,guide_15,non_targeting,batch_1,lane_2,1.0917,guide_15_b,b
cell_15_2,donor_1,guide_15,non_targeting,batch_1,lane_3,-1.5725,guide_15_a,a
cell_15_3,donor_1,guide_15,non_targeting,batch_1,lane_1,1.4678,guide_15_b,b
cell_15_4,donor_1,guide_15,non_targeting,batch_1,lane_2,0.9842,guide_15_a,a
cell_15_5,donor_1,guide_15,non_targeting,batch_1,lane_3,0.9886,guide_15_b,b
cell_15_6,donor_1,guide_15,non_targeting,batch_1,lane_1,-0.9581,guide_15_a,a
cell_15_7,donor_1,guide_15,non_targeting,batch_1,lane_2,0.0137,guide_15_b,b
cell_15_8,donor_1,guide_15,non_targeting,batch_1,lane_3,0.3056,guide_15_a,a
cell_15_9,donor_1,guide_15,non_targeting,batch_1,lane_1,0.8075,guide_15_b,b
cell_15_10,donor_1,guide_15,non_targeting,batch_1,lane_2,-0.0,guide_15_a,a
cell_15_11,donor_1,guide_15,non_targeting,batch_1,lane_3,-1.286,guide_15_b,b
cell_15_12,donor_1,guide_15,non_targeting,batch_1,lane_1,-0.054,guide_15_a,a
cell_15_13,donor_1,guide_15,non_targeting,batch_1,lane_2,-0.8509,guide_15_b,b
cell_15_14,donor_1,guide_15,non_targeting,batch_1,lane_3,-0.696,guide_15_a,a
cell_15_15,donor_1,guide_15,non_targeting,batch_1,lane_1,2.1038,guide_15_b,b
cell_15_16,donor_1,guide_15,non_targeting,batch_1,lane_2,-2.2568,guide_15_a,a
cell_15_17,donor_1,guide_15,non_targeting,batch_1,lane_3,-0.5723,guide_15_b,b
cell_15_18,donor_1,guide_15,non_targeting,batch_1,lane_1,0.6191,guide_15_a,a
cell_15_19,donor_1,guide_15,non_targeting,batch_1,lane_2,1.7289,guide_15_b,b
cell_15_20,donor_1,guide_15,non_targeting,batch_1,lane_3,-0.3364,guide_15_a,a
cell_15_21,donor_1,guide_15,non_targeting,batch_1,lane_1,-1.1522,guide_15_b,b
cell_15_22,donor_1,guide_15,non_targeting,batch_1,lane_2,1.4319,guide_15_a,a
cell_15_23,donor_1,guide_15,non_targeting,batch_1,lane_3,0.899,guide_15_b,b
cell_15_24,donor_1,guide_15,non_targeting,batch_1,lane_1,-0.1187,guide_15_a,a
cell_15_25,donor_1,guide_15,non_targeting,batch_1,lane_2,-0.8159,guide_15_b,b
cell_15_26,donor_1,guide_15,non_targeting,batch_1,lane_3,1.7237,guide_15_a,a
cell_15_27,donor_1,guide_15,non_targeting,batch_1,lane_1,0.5049,guide_15_b,b
cell_15_28,donor_1,guide_15,non_targeting,batch_1,lane_2,0.6781,guide_15_a,a
cell_15_29,donor_1,guide_15,non_targeting,batch_1,lane_3,-0.5051,guide_15_b,b
cell_15_30,donor_1,guide_15,non_targeting,batch_1,lane_1,0.9925,guide_15_a,a
cell_15_31,donor_1,guide_15,non_targeting,batch_1,lane_2,-0.2833,guide_15_b,b
cell_15_32,donor_1,guide_15,non_targeting,batch_1,lane_3,1.4329,guide_15_a,a
cell_15_33,donor_1,guide_15,non_targeting,batch_1,lane_1,-0.7063,guide_15_b,b
cell_15_34,donor_1,guide_15,non_targeting,batch_1,lane_2,0.6553,guide_15_a,a
cell_15_35,donor_1,guide_15,non_targeting,batch_1,lane_3,1.1097,guide_15_b,b
cell_15_36,donor_1,guide_15,non_targeting,batch_1,lane_1,0.8047,guide_15_a,a
cell_15_37,donor_1,guide_15,non_targeting,batch_1,lane_2,-0.2027,guide_15_b,b
cell_15_38,donor_1,guide_15,non_targeting,batch_1,lane_3,-0.108,guide_15_a,a
cell_15_39,donor_1,guide_15,non_targeting,batch_1,lane_1,0.3554,guide_15_b,b
cell_16_0,donor_1,guide_16,non_targeting,batch_1,lane_1,-1.3349,guide_16_a,a
cell_16_1,donor_1,guide_16,non_targeting,batch_1,lane_2,-0.6099,guide_16_b,b
cell_16_2,donor_1,guide_16,non_targeting,batch_1,lane_3,-0.7315,guide_16_a,a
cell_16_3,donor_1,guide_16,non_targeting,batch_1,lane_1,-1.5509,guide_16_b,b
cell_16_4,donor_1,guide_16,non_targeting,batch_1,lane_2,-0.9017,guide_16_a,a
cell_16_5,donor_1,guide_16,non_targeting,batch_1,lane_3,-0.2754,guide_16_b,b
cell_16_6,donor_1,guide_16,non_targeting,batch_1,lane_1,0.2293,guide_16_a,a
cell_16_7,donor_1,guide_16,non_targeting,batch_1,lane_2,-0.6231,guide_16_b,b
cell_16_8,donor_1,guide_16,non_targeting,batch_1,lane_3,-0.5081,guide_16_a,a
cell_16_9,donor_1,guide_16,non_targeting,batch_1,lane_1,-1.7613,guide_16_b,b
cell_16_10,donor_1,guide_16,non_targeting,batch_1,lane_2,0.4297,guide_16_a,a
cell_16_11,donor_1,guide_16,non_targeting,batch_1,lane_3,-1.3841,guide_16_b,b
cell_16_12,donor_1,guide_16,non_targeting,batch_1,lane_1,-0.0304,guide_16_a,a
cell_16_13,donor_1,guide_16,non_targeting,batch_1,lane_2,0.0309,guide_16_b,b
cell_16_14,donor_1,guide_16,non_targeting,batch_1,lane_3,1.4155,guide_16_a,a
cell_16_15,donor_1,guide_16,non_targeting,batch_1,lane_1,-0.2202,guide_16_b,b
cell_16_16,donor_1,guide_16,non_targeting,batch_1,lane_2,0.3637,guide_16_a,a
cell_16_17,donor_1,guide_16,non_targeting,batch_1,lane_3,-1.4854,guide_16_b,b
cell_16_18,donor_1,guide_16,non_targeting,batch_1,lane_1,0.211,guide_16_a,a
cell_16_19,donor_1,guide_16,non_targeting,batch_1,lane_2,0.5922,guide_16_b,b
cell_16_20,donor_1,guide_16,non_targeting,batch_1,lane_3,-1.7637,guide_16_a,a
cell_16_21,donor_1,guide_16,non_targeting,batch_1,lane_1,-0.7876,guide_16_b,b
cell_16_22,donor_1,guide_16,non_targeting,batch_1,lane_2,-0.2711,guide_16_a,a
cell_16_23,donor_1,guide_16,non_targeting,batch_1,lane_3,0.0041,guide_16_b,b
cell_16_24,donor_1,guide_16,non_targeting,batch_1,lane_1,-0.6221,guide_16_a,a
cell_16_25,donor_1,guide_16,non_targeting,batch_1,lane_2,-0.3304,guide_16_b,b
cell_16_26,donor_1,guide_16,non_targeting,batch_1,lane_3,-0.592,guide_16_a,a
cell_16_27,donor_1,guide_16,non_targeting,batch_1,lane_1,0.1661,guide_16_b,b
cell_16_28,donor_1,guide_16,non_targeting,batch_1,lane_2,-2.1026,guide_16_a,a
cell_16_29,donor_1,guide_16,non_targeting,batch_1,lane_3,-0.4731,guide_16_b,b
cell_16_30,donor_1,guide_16,non_targeting,batch_1,lane_1,1.3943,guide_16_a,a
cell_16_31,donor_1,guide_16,non_targeting,batch_1,lane_2,2.0645,guide_16_b,b
cell_16_32,donor_1,guide_16,non_targeting,batch_1,lane_3,-1.2364,guide_16_a,a
cell_16_33,donor_1,guide_16,non_targeting,batch_1,lane_1,1.1434,guide_16_b,b
cell_16_34,donor_1,guide_16,non_targeting,batch_1,lane_2,0.9836,guide_16_a,a
cell_16_35,donor_1,guide_16,non_targeting,batch_1,lane_3,1.7599,guide_16_b,b
cell_16_36,donor_1,guide_16,non_targeting,batch_1,lane_1,-0.1748,guide_16_a,a
cell_16_37,donor_1,guide_16,non_targeting,batch_1,lane_2,1.2313,guide_16_b,b
cell_16_38,donor_1,guide_16,non_targeting,batch_1,lane_3,-1.481,guide_16_a,a
cell_16_39,donor_1,guide_16,non_targeting,batch_1,lane_1,-1.1013,guide_16_b,b
