gene,u0_c0,u0_c1,u0_c2,u0_c3,u0_c4,u0_c5,u0_c6,u0_c7,u0_c8,u0_c9,u0_c10,u0_c11,u1_c0,u1_c1,u1_c2,u1_c3,u1_c4,u1_c5,u1_c6,u1_c7,u1_c8,u1_c9,u1_c10,u1_c11,u2_c0,u2_c1,u2_c2,u2_c3,u2_c4,u2_c5,u2_c6,u2_c7,u2_c8,u2_c9,u2_c10,u2_c11,u3_c0,u3_c1,u3_c2,u3_c3,u3_c4,u3_c5,u3_c6,u3_c7,u3_c8,u3_c9,u3_c10,u3_c11,u4_c0,u4_c1,u4_c2,u4_c3,u4_c4,u4_c5,u4_c6,u4_c7,u4_c8,u4_c9,u4_c10,u4_c11,u5_c0,u5_c1,u5_c2,u5_c3,u5_c4,u5_c5,u5_c6,u5_c7,u5_c8,u5_c9,u5_c10,u5_c11
FILL048,0,0,6,6,0,0,0,0,6,6,0,6,6,0,6,6,6,6,0,6,0,0,0,0,0,0,6,0,0,0,6,0,6,0,0,6,0,6,0,0,0,0,6,6,0,0,6,6,0,6,0,6,6,0,6,6,6,0,6,6,0,0,6,0,0,6,0,0,0,6,6,6
FILL049,0,6,6,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,6,6,0,6,0,6,6,0,6,0,0,0,6,6,6,0,0,0,6,6,6,6,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,0,6,6,6,6,6,0
FILL050,6,0,0,6,6,6,0,6,6,6,6,0,0,6,6,6,6,0,0,0,0,6,0,6,6,0,0,0,6,0,6,6,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,6,0,0,6,6,0,6,6,6,6,0,6,6,6,0,6,0,0,6,0,6,0
FILL051,6,6,0,0,6,6,6,6,0,0,6,0,0,0,0,6,0,0,6,6,0,6,6,0,0,0,0,0,0,0,6,6,6,6,0,0,6,6,6,0,0,6,6,0,0,6,6,0,6,0,0,0,6,6,0,6,0,6,6,0,0,6,6,0,6,0,0,6,6,0,0,0
FILL052,6,6,0,0,6,6,0,0,0,0,6,6,0,6,0,0,6,6,6,6,0,0,6,6,6,0,0,6,0,6,0,0,0,6,0,0,6,6,0,6,0,0,6,6,0,0,0,6,6,6,6,0,6,6,0,0,0,0,6,0,6,0,6,0,6,6,6,0,0,0,0,6
FILL053,0,0,6,6,0,0,0,6,6,0,6,6,6,6,6,6,6,0,6,6,6,0,0,0,0,0,6,6,6,6,0,6,6,6,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,6,0,0,6,6,0,0,0,0,0,6,6,6,6,0,0,6,6,6,6,6,0,6
FILL054,0,6,0,6,0,6,0,6,6,0,0,0,0,6,6,0,6,0,6,0,0,0,6,0,6,0,0,0,0,6,6,6,0,0,0,0,0,6,6,6,6,0,0,6,0,6,6,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,6,6,0,6,0,0,0,0,0
FILL055,6,6,6,6,0,6,6,0,0,0,6,6,6,6,0,6,0,0,0,6,0,6,6,6,0,6,6,6,6,0,0,6,0,6,6,6,0,6,0,0,0,6,0,6,6,6,6,6,0,6,6,6,6,6,6,6,0,6,6,0,0,6,6,6,6,6,6,0,6,6,6,6
FILL056,6,0,0,0,6,6,6,6,0,6,0,6,6,6,6,0,6,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0,0,6,0,6,0,0,6,6,6,0,0,6,0,6,6,0,6,6,0,0,6,6,0,6,6,6,6,0,0,6,0,6,0,6,6,6,6,6,6
FILL057,0,0,6,6,0,6,6,6,6,0,6,6,6,6,0,0,6,0,0,0,0,6,6,6,6,6,6,0,6,6,6,6,0,0,6,6,6,0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,0,0,0,0,0,0
FILL058,0,0,6,0,6,6,6,0,0,6,0,0,6,6,6,0,0,0,6,0,6,6,6,6,6,6,0,0,0,6,6,0,6,6,0,6,6,6,0,6,6,0,0,0,6,0,0,0,0,6,0,6,0,6,0,6,0,0,0,6,6,6,6,6,0,0,6,6,6,0,6,6
FILL059,0,0,6,0,6,0,6,6,6,0,0,0,6,6,6,6,0,0,6,0,0,0,0,6,0,6,6,6,6,6,0,0,6,0,6,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,0,0,0,0,6,6,0,6,0,6,0,0,0,6,0,6,0,6,0,0,0,6
FILL060,0,0,0,0,6,6,6,6,0,0,0,0,0,6,6,0,0,6,6,0,6,0,6,6,6,0,0,0,0,6,0,0,0,0,6,0,0,6,0,6,0,0,6,6,0,0,0,6,6,6,0,6,0,6,0,0,0,6,6,6,6,0,0,0,6,6,6,6,6,6,6,0
FILL061,0,0,6,6,0,0,6,6,0,6,6,0,0,6,0,0,6,0,0,0,6,6,0,6,0,6,6,6,6,6,0,0,6,6,6,6,6,0,0,6,6,0,0,6,0,0,0,6,0,6,6,0,0,0,0,6,6,6,6,6,6,0,6,6,6,0,0,6,0,6,0,6
FILL062,6,6,0,0,0,0,6,6,6,0,6,0,6,0,6,6,0,0,0,6,6,6,6,6,6,0,0,6,0,0,0,0,6,0,0,6,6,6,6,0,0,6,6,6,0,0,6,6,0,6,6,0,6,6,6,6,0,6,6,0,0,0,6,6,0,0,0,6,6,6,6,0
FILL063,0,0,0,0,6,6,0,0,0,0,6,6,6,6,6,6,6,0,6,0,0,6,6,6,0,6,0,0,6,0,6,6,0,0,0,0,0,6,6,6,0,6,0,0,6,6,0,0,6,6,6,6,6,6,0,0,6,0,6,6,0,0,0,6,0,6,0,6,6,6,6,0
FILL064,6,6,6,0,6,0,6,0,0,0,6,0,0,6,6,6,0,6,0,6,6,6,6,0,0,6,0,6,6,0,6,0,6,0,6,0,0,6,6,6,0,0,6,0,0,6,0,0,6,0,0,6,0,6,6,6,6,0,0,6,6,0,6,0,0,6,6,6,0,6,6,0
FILL065,6,6,0,6,0,6,6,6,6,6,6,0,6,0,6,6,0,0,6,6,0,0,6,0,6,0,0,0,6,0,6,0,6,6,6,0,6,6,6,6,0,6,6,0,0,6,6,6,0,0,6,0,0,6,0,6,0,6,6,6,0,0,0,6,6,6,6,6,0,0,6,0
FILL066,6,6,6,6,0,6,6,6,6,6,6,0,6,6,0,0,0,6,6,0,0,6,0,6,6,0,0,6,0,0,6,6,0,0,0,6,6,0,0,0,6,0,6,6,6,6,6,6,0,0,6,6,6,6,0,6,0,6,0,6,6,0,6,0,0,0,0,6,6,6,0,0
FILL067,0,6,6,0,6,6,0,0,0,0,0,6,0,0,0,0,6,0,6,6,0,0,6,6,6,0,6,6,0,6,0,0,0,6,6,6,0,6,6,0,6,6,6,0,0,6,6,0,0,6,6,6,0,0,6,0,0,6,6,0,6,0,0,6,6,6,6,0,0,0,0,0
FILL068,6,6,0,0,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,6,6,0,0,6,0,6,6,0,6,0,0,0,6,6,6,0,0,6,0,0,6,6,0,6,6,0,6,6,6,6,6,6,0,0,0,6,6,0,0,0,0,0,0,6,0,0,0,0,6,0,6
FILL069,6,6,6,6,0,6,6,0,6,6,0,0,6,6,0,0,0,0,6,6,0,6,0,6,0,0,0,0,6,0,6,6,0,0,0,0,6,6,0,0,6,0,0,6,6,6,6,6,6,6,0,0,6,0,0,6,6,6,0,6,6,0,0,6,6,0,0,0,6,6,6,0
FILL070,6,6,0,0,0,6,6,0,6,6,0,6,6,6,0,6,6,6,6,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0,6,0,6,0,6,6,0,0,6,0,0,0,0,0,6,6,6,6,0,0,6,6,0,0,0,6,0,0,6,6,0,0,6,6,6,0,6,6
FILL071,0,0,6,0,0,0,0,6,6,0,0,0,6,0,6,6,0,0,6,0,6,0,6,6,6,6,6,0,6,6,0,0,6,0,0,0,6,6,0,0,6,6,6,0,6,0,0,6,0,6,6,0,6,6,0,6,6,6,0,0,6,6,6,6,6,0,0,0,0,6,6,6
FILL072,6,6,0,0,6,6,6,0,6,0,6,0,6,0,0,6,0,0,0,6,6,0,6,0,6,6,6,6,0,0,6,6,0,6,6,6,0,6,0,0,6,0,6,6,6,0,6,6,0,0,0,0,6,0,0,0,6,6,0,6,0,0,6,0,0,0,0,0,0,6,0,0
FILL073,6,6,6,0,6,0,0,0,6,6,6,0,0,6,0,0,6,0,0,6,6,6,0,0,6,6,6,6,6,6,0,0,0,6,0,0,6,6,6,6,6,0,6,0,6,0,0,6,0,0,0,6,6,6,0,6,6,6,0,0,0,6,6,0,6,6,6,0,0,6,0,0
FILL074,6,6,0,0,0,0,0,0,6,0,0,0,6,0,6,6,6,6,0,0,0,6,6,0,0,6,0,6,0,6,6,6,6,0,6,0,0,6,0,6,0,6,6,6,0,6,6,6,0,0,6,0,0,6,6,6,6,0,6,0,6,0,6,6,6,0,6,6,6,6,0,0
FILL075,6,0,6,0,0,6,6,6,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,6,0,0,6,0,0,6,6,6,6,0,6,6,0,6,0,6,0,0,6,0,6,0,6,0,6,0,0,6,6,6,6,6,6,6,0,6,0,0,6,6,0,0
FILL076,0,0,6,6,6,6,6,0,6,6,6,0,6,6,0,0,6,6,0,6,6,0,0,6,0,0,0,6,6,0,6,0,6,6,0,6,0,0,6,6,0,6,6,6,0,0,6,6,6,6,0,0,6,0,0,6,0,6,6,6,6,6,6,0,0,0,0,6,0,6,6,0
FILL077,0,0,6,0,0,0,0,0,6,0,6,6,0,6,0,0,6,6,6,6,6,6,6,0,0,0,0,6,0,6,0,6,6,6,6,0,6,0,6,0,0,6,6,0,6,6,6,6,6,0,0,0,0,6,0,0,0,0,6,6,0,6,6,6,0,0,6,0,0,6,6,0
FILL078,6,0,6,6,0,0,0,0,0,6,6,6,6,0,6,0,0,6,0,6,6,0,6,0,0,6,6,0,0,0,6,0,6,6,6,0,0,0,0,0,6,6,6,0,6,0,6,0,6,0,6,0,6,6,0,6,6,0,0,0,0,6,0,6,6,0,0,6,6,0,0,6
FILL079,0,6,6,0,6,0,0,0,0,0,6,0,6,0,0,0,0,0,6,6,6,6,0,6,6,0,0,6,0,0,6,0,6,6,6,6,6,6,0,0,6,6,6,6,0,0,6,0,6,6,6,6,0,6,6,0,6,0,6,0,0,6,0,0,0,0,6,0,0,0,6,6
FILL080,6,6,6,0,6,6,6,6,6,0,0,0,6,0,0,0,6,6,0,6,0,0,6,0,0,6,0,0,0,0,0,6,6,0,6,0,0,0,6,6,6,0,0,0,0,6,6,6,0,0,0,0,6,0,0,6,6,0,0,0,6,6,0,6,6,0,6,6,6,6,0,6
FILL081,6,0,0,6,6,0,6,0,0,6,0,0,6,6,6,0,0,0,6,6,0,0,6,0,0,0,0,6,6,6,6,0,0,0,6,0,0,6,6,6,6,6,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,6,6,6,0,6,6,0,0,6,0,6,6,0,6
FILL082,6,0,0,6,0,6,0,0,0,0,0,0,0,6,6,0,0,0,6,6,6,6,6,6,6,0,6,0,0,6,6,0,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,6,6,0,6,6,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,6
FILL083,0,0,6,0,0,0,0,6,0,0,0,6,6,6,0,0,0,6,6,6,0,0,6,6,0,6,6,0,0,6,0,6,6,0,6,0,0,6,6,0,0,6,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,6,6,0,0,6,6,0,0,0,6,6,0,0,6,0
FILL084,0,6,6,6,6,6,6,0,0,0,0,0,0,6,6,0,6,0,6,0,0,6,6,0,6,6,0,6,0,0,6,6,6,0,6,0,6,0,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,6,6,6,6,6,6,0,0,0,6,6,0
FILL085,6,0,6,0,0,6,0,0,0,6,0,6,0,0,0,6,0,0,0,6,0,6,6,6,0,6,0,6,6,6,0,6,6,6,0,6,0,0,6,0,0,0,0,6,0,0,6,0,6,0,0,6,6,0,0,0,6,6,6,6,0,0,6,0,6,0,6,0,0,6,0,0
FILL086,0,6,0,0,0,0,0,0,6,6,6,6,0,6,0,6,6,6,6,6,6,0,0,6,6,0,6,6,6,0,6,6,6,6,6,6,0,0,6,0,6,6,0,0,6,6,6,6,0,0,0,0,6,0,6,6,6,6,6,0,0,0,0,6,6,0,6,6,6,0,0,0
FILL087,0,6,6,0,6,6,0,0,0,6,0,0,0,6,6,0,0,0,0,6,6,0,6,0,0,6,6,6,0,6,6,6,6,6,6,6,6,6,0,6,6,0,6,6,0,0,6,0,6,0,6,6,6,0,0,6,0,6,0,6,6,0,0,6,0,0,6,6,0,6,0,6
FILL088,6,0,0,0,0,0,0,0,6,0,0,6,6,6,6,0,6,0,6,6,6,0,6,6,0,6,0,0,6,0,6,0,6,0,6,6,6,0,6,6,0,6,0,6,0,6,0,6,0,6,0,0,0,6,6,0,0,0,6,6,6,0,0,0,0,0,6,6,6,6,0,0
FILL089,6,6,0,6,0,6,0,6,0,0,6,6,0,0,0,6,0,0,0,6,6,0,6,6,6,6,0,0,0,6,6,6,0,0,6,6,6,0,6,0,0,6,0,6,6,6,0,6,6,6,0,6,6,6,0,0,6,6,0,0,0,6,6,0,0,0,6,0,6,0,6,0
FILL090,6,6,0,0,0,6,0,6,6,6,0,0,0,6,0,0,0,6,6,0,6,6,6,0,6,0,0,0,6,0,6,0,6,0,0,0,0,0,6,6,6,6,0,0,6,6,0,0,0,6,6,6,0,0,6,0,6,0,6,0,6,0,0,0,6,0,0,6,6,0,0,0
FILL091,6,6,6,6,0,6,6,0,6,0,0,0,0,6,0,0,6,6,6,6,6,0,6,0,0,6,0,0,0,6,6,6,6,6,6,6,0,0,0,6,0,0,6,0,0,6,0,6,6,0,6,0,0,6,6,0,0,0,6,0,0,0,6,6,6,0,0,6,0,0,0,0
FILL092,0,6,6,6,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,6,6,0,6,6,6,0,6,6,0,0,0,6,6,0,0,6,0,6,0,0,6,6,6,0,0,0,6,0,6,6,6,6,0,6,0,6,6,0,6,6
FILL093,0,0,6,0,0,6,6,6,6,6,6,6,0,0,6,0,6,0,6,6,6,6,6,0,6,6,6,6,0,6,6,0,0,0,6,6,6,6,0,6,0,6,0,0,6,0,0,6,0,6,0,6,0,6,0,6,0,6,6,0,6,0,6,0,0,6,6,0,6,0,6,6
FILL094,6,6,6,0,6,0,6,0,6,6,0,6,0,0,0,0,6,0,6,6,0,6,6,0,6,6,0,6,0,6,6,6,0,6,0,0,6,6,6,0,6,6,0,0,0,6,0,0,6,6,6,0,0,6,0,0,6,0,0,0,6,6,6,6,6,6,0,0,6,6,0,0
FILL095,6,0,6,0,0,0,0,0,6,6,6,6,0,6,6,6,0,0,0,6,0,6,6,6,0,6,6,6,6,6,0,0,0,6,6,0,0,0,0,6,0,6,0,0,6,6,6,0,6,6,0,6,0,6,6,6,0,0,6,6,6,6,0,6,0,6,6,6,6,0,6,6
FILL096,0,0,6,0,6,0,6,0,0,6,0,6,6,6,6,0,0,0,6,0,6,6,6,0,6,6,0,0,6,6,0,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,6,6,0,6,0,0,6,0,6,6,0,6,0,6,0,0,6,0,0,0,6,6,6,0,0
FILL097,6,6,0,6,0,6,0,0,0,0,0,6,6,6,6,0,0,0,6,0,0,0,6,0,6,0,0,6,6,6,6,0,6,6,0,6,0,6,0,0,6,6,0,6,0,0,0,0,6,6,0,0,6,6,6,6,0,6,6,6,6,0,0,0,0,6,0,0,6,6,0,0
FILL098,6,0,0,6,0,6,0,0,0,0,0,6,6,0,0,6,6,0,6,6,0,6,6,0,6,0,0,6,6,0,0,6,0,0,6,6,6,6,6,0,0,0,0,6,0,6,6,6,0,6,0,0,6,6,0,0,6,0,6,0,0,0,6,6,0,6,6,0,0,0,0,0
FILL099,6,6,0,0,6,0,6,0,6,0,6,6,0,0,6,6,0,6,6,0,0,0,0,6,0,0,6,6,0,6,6,6,0,0,6,0,6,0,6,6,0,6,0,0,6,6,0,6,6,0,0,6,6,0,0,0,0,0,0,6,0,6,6,6,0,0,0,6,0,6,0,6
FILL100,0,0,6,6,0,0,6,0,0,6,0,6,6,0,6,6,6,0,0,0,6,0,0,6,0,0,6,0,6,0,0,6,0,6,6,6,6,6,0,6,6,0,6,6,0,0,6,0,6,6,0,6,0,0,0,6,6,6,6,6,0,6,0,6,6,6,6,0,6,6,6,6
FILL101,0,6,0,6,0,0,6,6,0,0,6,0,0,0,6,6,0,0,6,0,0,0,6,6,6,6,0,6,6,6,0,0,6,6,6,0,0,0,6,0,6,6,6,6,0,6,0,6,6,6,0,0,0,6,0,0,6,6,0,0,6,6,6,6,0,6,6,6,6,6,0,6
FILL102,6,0,6,0,6,0,0,6,6,0,6,0,0,0,0,6,6,6,0,0,0,0,0,0,6,0,0,6,0,6,0,0,6,6,0,6,0,0,6,6,6,0,6,6,6,6,6,0,0,0,0,0,6,6,0,6,6,0,0,6,6,6,6,0,0,6,6,6,0,0,0,0
FILL103,0,6,0,6,0,6,0,0,6,0,6,0,0,0,0,0,6,6,6,0,6,6,6,6,0,0,6,6,0,0,0,0,6,6,0,0,6,0,0,6,0,0,6,0,6,6,0,6,0,0,0,0,0,0,6,0,6,0,6,0,0,6,6,0,0,0,0,0,6,6,0,0
FILL104,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,6,0,6,6,6,6,6,0,0,0,0,0,6,0,0,0,0,6,0,6,6,0,0,6,6,6,6,6,0,0,6,6,6,6,6,6,6,0,0
FILL105,0,0,0,6,0,6,0,0,6,0,0,0,0,6,6,0,6,0,6,0,6,0,6,0,6,0,6,6,6,0,6,6,6,0,6,0,6,0,6,6,0,0,6,6,0,0,0,6,6,0,0,0,6,0,6,6,0,6,0,6,6,0,6,0,0,6,6,0,6,0,0,0
FILL106,6,6,6,0,6,6,6,6,0,6,6,0,0,0,0,6,6,0,6,0,0,0,6,0,0,6,6,0,0,0,0,6,6,0,6,0,0,6,0,0,6,6,0,6,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,6,6,6,6,0,6,0,0,6,0,6,0,0
FILL107,6,6,6,0,6,6,0,6,6,6,0,6,6,0,6,6,6,6,0,0,6,6,0,6,6,0,0,6,6,0,0,6,0,6,6,6,0,6,6,0,6,6,0,6,0,6,0,6,0,6,6,0,6,6,0,0,6,6,0,0,6,6,6,6,6,6,0,0,0,6,6,0
FILL108,6,0,0,6,6,0,0,6,6,0,6,0,6,6,0,6,6,6,0,0,6,6,0,0,6,0,6,0,6,6,6,6,0,0,0,6,0,0,6,6,6,6,6,0,6,0,0,0,6,0,6,6,0,0,0,6,6,0,6,0,0,0,6,6,6,0,0,0,0,0,0,0
FILL109,6,6,6,0,0,6,0,0,6,6,6,0,0,0,0,6,6,6,0,0,0,0,0,0,0,6,6,6,6,6,0,6,6,0,6,6,0,0,6,6,6,0,0,6,0,0,0,0,0,0,6,0,6,6,0,0,6,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0
FILL110,6,0,6,6,6,6,6,0,0,6,6,6,6,6,6,0,0,0,0,0,6,0,0,6,6,0,0,6,0,6,6,0,0,0,0,6,6,0,0,0,6,6,6,6,0,0,6,0,0,6,6,0,6,6,0,0,6,0,6,6,0,0,6,0,6,6,6,0,6,0,0,0
FILL111,6,0,0,6,6,6,0,6,0,0,0,0,0,6,6,6,0,6,0,6,6,6,0,0,6,6,0,0,6,6,6,0,0,6,6,0,0,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,0,6,6,0,0,6,6,0,0,0,6,0,0,0,0,0,6
FILL112,0,6,0,6,6,6,6,6,0,0,0,6,6,6,0,6,6,6,6,0,6,0,6,0,6,0,0,0,0,6,0,0,6,6,0,6,6,0,6,6,6,0,6,6,0,6,0,0,6,6,0,0,6,6,0,6,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6,6
FILL113,6,6,0,6,6,6,0,0,0,6,6,0,6,0,6,0,6,0,0,6,6,6,6,6,6,0,6,0,0,0,6,0,6,6,6,0,0,6,6,6,6,0,0,0,0,0,0,6,0,0,0,6,6,0,0,6,0,6,0,0,0,0,0,6,6,0,6,6,6,0,6,0
FILL114,6,6,0,6,6,0,6,0,6,0,6,0,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,0,0,0,0,6,6,0,0,0,0,0,6,0,0,0,6,6,0,6,6,0,6,0,6,6,6,0,0,6,6,6,0,6,0,0,6,6,0,0,0,0,0,6,0,0
FILL115,0,6,0,0,6,6,0,0,6,6,6,0,6,6,0,0,0,6,6,6,6,0,6,0,0,6,0,6,6,0,6,6,6,6,6,0,0,6,6,0,0,0,0,0,6,6,6,6,0,0,0,6,6,0,6,0,0,0,6,0,0,6,6,6,0,0,0,6,6,0,6,0
FILL116,6,6,6,0,0,6,0,6,6,6,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,0,6,0,0,0,0,0,6,0,0,6,0,6,0,6,6,6,0,6,6,0,0,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,0,0,0,0
FILL117,0,6,6,0,6,0,6,0,6,0,0,6,6,6,6,0,6,0,6,0,0,0,0,0,6,0,6,0,0,0,6,0,6,6,6,6,6,6,0,6,0,0,6,0,0,0,6,0,6,6,0,0,0,0,0,6,0,6,0,0,0,6,6,6,6,0,6,6,0,6,6,6
FILL118,0,6,0,6,6,0,6,0,0,6,0,6,0,0,0,6,6,0,0,0,0,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,6,6,0,6,6,6,0,0,6,0,0,0,0,0,0,0,6,6,6,6,6,6,0,0
FILL119,0,6,0,0,6,0,0,6,0,0,6,6,6,0,0,6,0,0,0,6,6,6,0,6,0,6,0,6,0,6,6,0,6,6,6,0,6,6,6,0,0,0,0,6,0,6,0,6,6,6,6,6,6,6,0,6,0,0,0,6,6,0,6,6,6,0,0,0,6,6,6,6
